,since,until,Tesla Stock Price,S&P 500 Variance,Ford Stock Price,GM Stock Price,Toyota Stock Price,Nissan Stock Price,Tesla Wikipedia Page Views,Sentiment,Previous Week Tesla Stock Price
1,2010-07-07,2010-07-14,1.1446666,36056.23194,10.96400013,34.18999863,71.21399994,14.71399994,1491,0.14415,1.481333494
2,2010-07-15,2010-07-22,1.372800016,35552.10727,11.59599991,34.18999863,70.74600067,14.2,1145.4,0.01823548387,1.1446666
3,2010-07-23,2010-07-30,1.384800005,9178.074048,12.91399994,34.18999863,70.37200012,14.83999996,1449.4,0.08960322581,1.372800016
4,2010-07-31,2010-08-07,1.388933206,435.732436,13.03999977,34.18999863,72.76399841,15.46000004,1102.2,0.1403225806,1.384800005
5,2010-08-08,2010-08-15,1.232666612,380.8257869,12.56000004,34.18999863,70.75600128,15.06200008,898,0.04008,1.388933206
6,2010-08-16,2010-08-23,1.261199975,316.1061499,12.00200005,34.18999863,70.69000092,15.20000019,801,0.1880225806,1.232666612
7,2010-08-24,2010-08-31,1.312266779,591.345328,11.32800007,34.18999863,69.03000031,14.9920002,766.2,0.1682060606,1.261199975
8,2010-09-01,2010-09-08,1.384999752,615.9936097,11.7974999,34.18999863,69,15.74500012,808.5,0.1194,1.312266779
9,2010-09-09,2010-09-16,1.39599998,416.2262596,11.87599983,34.18999863,70.52200012,16.16399975,926.6,0.1702028571,1.384999752
10,2010-09-17,2010-09-24,1.353200221,878.8788285,12.46000004,34.18999863,71.56800079,16.56199989,949.8,0.249525,1.39599998
11,2010-09-25,2010-10-02,1.398933387,590.4883382,12.36599998,34.18999863,72.38600159,17.37399979,1040.6,0.1961,1.353200221
12,2010-10-03,2010-10-10,1.379066586,244.7788528,13.21399994,34.18999863,71.24600067,17.85200005,1011.4,0.1275366667,1.398933387
13,2010-10-11,2010-10-18,1.364133024,202.629088,13.78199997,34.18999863,71.02000275,18.21199989,1012,0.255715625,1.379066586
14,2010-10-19,2010-10-26,1.373599982,239.8491781,13.77399998,34.18999863,71.54400024,18.13600044,936.8,0.1600758621,1.364133024
15,2010-10-27,2010-11-03,1.422533393,169.4042336,14.24799995,34.18999863,70.54400024,17.50999985,995,0.07837272727,1.373599982
16,2010-11-04,2010-11-11,1.710799789,206.1645389,16.23599949,34.18999863,73.44199982,18.92599983,1111.8,0.06463870968,1.422533393
17,2010-11-12,2010-11-19,1.995866609,288.0226977,16.52200012,34.18999863,75.8480011,19.00400009,991,0.1386516129,1.710799789
18,2010-11-20,2010-11-27,2.312666953,233.9609796,15.98750019,33.65250015,78.29750061,18.8375001,912.5,0.1829685714,1.995866609
19,2010-11-28,2010-12-05,2.238000011,221.3474646,16.40799961,34.40199966,78.71800079,19.34400024,844.4,0.0197483871,2.312666953
20,2010-12-06,2010-12-13,2.104133415,260.8421745,16.67799988,34.23200073,78.28000031,19.50200005,1383.6,0,2.238000011
21,2010-12-14,2010-12-21,2.02666657,456.6041187,16.67799988,33.77399979,77.83800201,19.11199989,853.8,0.072034375,2.104133415
22,2010-12-22,2010-12-29,1.911333263,486.6865383,16.84250021,34.91249943,77.87500191,18.92749977,755.5,0.1144925926,2.02666657
23,2010-12-30,2011-01-06,1.776666808,180.2971476,17.2,37.34200058,79.29399872,19.31399994,826.4,0.2239225806,1.911333263
24,2011-01-07,2011-01-14,1.824399996,151.4719986,18.45,38.63600006,83.68799896,20.6,1080.4,0.1570576923,1.776666808
25,2011-01-15,2011-01-22,1.588833243,156.9518268,18.08250046,37.46250057,83.63750076,20.28999996,1089.5,0.1974363636,1.824399996
26,2011-01-23,2011-01-30,1.637999988,138.5333077,17.85000038,37.83999939,82.90800018,20.34000015,1007.2,0.09913235294,1.588833243
27,2011-01-31,2011-02-07,1.587199998,109.5828176,15.74400005,36.25400085,83.98000031,20.91400032,866,0.1185193548,1.637999988
28,2011-02-08,2011-02-15,1.563333368,202.1351549,16.14999981,36.3840004,89.97599945,21.29000015,1041.6,0.2266735294,1.587199998
29,2011-02-16,2011-02-23,1.556333244,334.7554385,15.75499988,36.34999943,92.75499916,20.94999981,947.5,0.1714,1.563333368
30,2011-02-24,2011-03-03,1.573199987,236.4406172,14.82799988,33.12600021,91.90399933,20.5,928.2,0,1.556333244
31,2011-03-04,2011-03-11,1.64373343,120.926596,14.25000019,32.09600029,89.41199799,19.90800018,1056,0.2002878788,1.573199987
32,2011-03-12,2011-03-19,1.530533361,284.7789355,14.38000011,31.80200005,81.43000031,18.06799965,876.8,0.175615625,1.64373343
33,2011-03-20,2011-03-27,1.496133423,363.2348331,14.65800018,31.2079998,82.16800079,17.58400002,911.4,0.238815625,1.530533361
